pattern_id,Split_0,Split_1,Split_2,Split_3,Split_4
121,train,train,train,train,test
122,test,train,train,train,train
123,train,train,test,train,train
124,train,train,train,train,test
125,train,test,train,train,train
126,train,train,train,train,test
127,test,train,train,train,train
128,train,train,train,test,train
129,train,test,train,train,train
130,train,train,test,train,train
131,train,train,train,train,test
132,train,train,test,train,train
133,train,test,train,train,train
134,train,train,train,train,test
135,train,test,train,train,train
136,train,train,train,train,test
137,train,train,test,train,train
138,train,test,train,train,train
139,train,train,train,train,test
140,test,train,train,train,train
141,test,train,train,train,train
142,train,test,train,train,train
143,train,test,train,train,train
144,test,train,train,train,train
145,train,train,train,test,train
146,train,train,train,test,train
147,train,test,train,train,train
148,train,test,train,train,train
149,test,train,train,train,train
150,train,train,train,test,train
151,train,test,train,train,train
152,train,train,test,train,train
153,train,train,test,train,train
154,train,train,train,test,train
155,train,test,train,train,train
156,test,train,train,train,train
157,test,train,train,train,train
158,train,test,train,train,train
159,test,train,train,train,train
160,train,train,train,train,test
161,test,train,train,train,train
162,train,train,train,test,train
163,train,test,train,train,train
164,train,train,train,train,test
165,train,test,train,train,train
166,train,test,train,train,train
167,train,train,train,test,train
168,test,train,train,train,train
169,train,train,train,test,train
170,train,train,train,train,test
171,train,test,train,train,train
172,train,train,train,test,train
173,train,train,train,train,test
174,train,train,train,test,train
175,train,train,train,train,test
176,train,train,test,train,train
177,train,train,train,train,test
179,train,train,test,train,train
180,train,train,test,train,train
181,train,train,train,train,test
182,train,train,train,test,train
183,train,train,train,train,test
184,train,train,train,test,train
185,train,train,test,train,train
186,train,train,train,test,train
187,train,train,train,test,train
188,train,test,train,train,train
189,test,train,train,train,train
190,train,train,test,train,train
191,test,train,train,train,train
192,train,train,test,train,train
193,test,train,train,train,train
194,train,train,test,train,train
195,train,test,train,train,train
196,test,train,train,train,train
197,train,train,train,test,train
198,train,train,test,train,train
199,test,train,train,train,train
200,train,train,train,test,train
201,train,test,train,train,train
202,test,train,train,train,train
203,train,train,train,test,train
204,train,train,test,train,train
205,test,train,train,train,train
206,train,train,train,train,test
207,train,train,train,train,test
208,train,train,test,train,train
209,train,train,train,test,train
210,test,train,train,train,train
211,train,test,train,train,train
212,train,test,train,train,train
213,train,train,test,train,train
214,test,train,train,train,train
215,train,test,train,train,train
216,test,train,train,train,train
217,train,train,train,test,train
219,train,test,train,train,train
220,train,train,train,test,train
221,test,train,train,train,train
222,train,train,test,train,train
223,train,train,train,train,test
224,test,train,train,train,train
225,train,train,train,train,test
226,train,train,train,train,test
227,train,test,train,train,train
228,train,train,train,test,train
229,train,train,test,train,train
230,test,train,train,train,train
231,train,train,train,train,test
232,train,train,train,test,train
233,train,train,test,train,train
234,train,test,train,train,train
235,train,train,train,test,train
236,train,test,train,train,train
237,train,test,train,train,train
238,train,train,train,train,test
239,train,train,test,train,train
240,train,test,train,train,train
241,test,train,train,train,train
242,train,train,test,train,train
243,train,train,train,test,train
244,train,train,train,train,test
245,train,test,train,train,train
246,test,train,train,train,train
247,train,train,train,train,test
248,train,train,test,train,train
249,train,train,test,train,train
250,train,train,test,train,train
251,train,test,train,train,train
252,train,train,train,train,test
253,train,train,train,test,train
254,train,test,train,train,train
255,train,train,train,train,test
257,train,train,train,train,test
258,train,test,train,train,train
259,train,train,test,train,train
260,train,train,train,train,test
261,train,train,train,train,test
262,train,train,train,train,test
263,train,train,train,test,train
264,test,train,train,train,train
265,train,test,train,train,train
266,train,train,train,test,train
267,train,train,train,test,train
269,test,train,train,train,train
270,train,train,test,train,train
272,train,test,train,train,train
273,test,train,train,train,train
274,train,train,test,train,train
275,train,train,train,train,test
276,train,train,train,train,test
277,train,train,train,test,train
278,train,test,train,train,train
279,train,train,train,test,train
280,train,test,train,train,train
281,train,train,test,train,train
282,train,train,train,test,train
283,train,test,train,train,train
284,train,train,train,test,train
285,train,train,train,test,train
286,train,train,train,train,test
287,train,test,train,train,train
288,train,train,test,train,train
289,train,test,train,train,train
290,train,test,train,train,train
291,train,train,test,train,train
292,train,train,train,train,test
293,train,test,train,train,train
294,train,test,train,train,train
295,train,test,train,train,train
296,train,train,test,train,train
297,train,test,train,train,train
298,test,train,train,train,train
299,train,train,train,train,test
300,train,train,train,train,test
301,test,train,train,train,train
302,train,train,test,train,train
303,train,train,train,test,train
304,train,train,test,train,train
305,train,train,train,test,train
306,train,train,test,train,train
307,test,train,train,train,train
308,train,train,test,train,train
309,train,train,train,train,test
310,train,train,train,train,test
311,test,train,train,train,train
312,train,train,train,test,train
313,test,train,train,train,train
314,test,train,train,train,train
315,train,train,test,train,train
316,test,train,train,train,train
317,train,train,test,train,train
318,train,train,test,train,train
319,train,train,train,test,train
320,train,test,train,train,train
321,train,train,train,test,train
322,train,train,test,train,train
323,train,train,test,train,train
324,train,train,train,train,test
325,train,train,test,train,train
326,train,test,train,train,train
327,train,test,train,train,train
328,train,train,train,train,test
329,train,train,train,train,test
330,test,train,train,train,train
331,train,train,train,test,train
332,train,train,train,train,test
333,train,train,train,test,train
334,test,train,train,train,train
335,test,train,train,train,train
336,test,train,train,train,train
337,test,train,train,train,train
338,train,train,train,test,train
339,test,train,train,train,train
340,train,test,train,train,train
341,test,train,train,train,train
342,train,train,train,train,test
343,train,train,train,train,test
